nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
stleary/JSON-java;20210307;7299b201f4f49e5894800a4e98caf983deada869;2021-03-07T21:11:48-06:00;20211205;8ef8e1463d92f8d164b4cd629b67dd55a5198597;2021-12-05T09:12:55-06:00;4.767;5.096;30;0;2;32;2;13;0;3;18;13
stleary/JSON-java;20211205;8ef8e1463d92f8d164b4cd629b67dd55a5198597;2021-12-05T09:12:55-06:00;20220320;c0a1d5f741154948e9201e99876bb4bb131110b5;2022-03-20T09:28:19-05:00;5.096;5.141;1;0;0;1;0;0;0;0;0;14
stleary/JSON-java;20220320;c0a1d5f741154948e9201e99876bb4bb131110b5;2022-03-20T09:28:19-05:00;20220924;8439039da75eb539efb21a04442cfa8330740bda;2022-09-24T16:25:18-05:00;5.141;5.139;7;0;0;7;0;3;0;1;4;15
stleary/JSON-java;20220924;8439039da75eb539efb21a04442cfa8330740bda;2022-09-24T16:25:18-05:00;20230227;47fb49b6a871cd1652870e33e89cbff082bb0ee1;2023-02-27T07:21:11-06:00;5.139;5.272;18;0;1;19;0;8;0;2;10;16
stleary/JSON-java;20230227;47fb49b6a871cd1652870e33e89cbff082bb0ee1;2023-02-27T07:21:11-06:00;20230618;a963115ac2527dee688f54f7c1150d6f25b887c1;2023-06-18T12:58:32-05:00;5.272;5.289;3;0;0;3;0;1;0;1;2;17
stleary/JSON-java;20230618;a963115ac2527dee688f54f7c1150d6f25b887c1;2023-06-18T12:58:32-05:00;20231013;f346203cd663bb680cad0d5894e7c147e36f31cd;2023-10-13T16:10:17-05:00;5.289;5.423;24;2;0;26;2;6;0;0;8;18
stleary/JSON-java;20231013;f346203cd663bb680cad0d5894e7c147e36f31cd;2023-10-13T16:10:17-05:00;20240205;010e83b925642a654bd02a90fdddc26222e425f0;2024-02-05T20:44:18-06:00;5.423;5.65;31;0;0;31;4;16;0;3;23;19
stleary/JSON-java;20240205;010e83b925642a654bd02a90fdddc26222e425f0;2024-02-05T20:44:18-06:00;20240303;f9b5587c87aaf02e4a5ed1991d48d6c05993624a;2024-03-03T08:55:13-06:00;5.65;5.772;5;0;0;5;0;2;0;0;2;20
stleary/JSON-java;20240303;f9b5587c87aaf02e4a5ed1991d48d6c05993624a;2024-03-03T08:55:13-06:00;20241224;0e60592bdb024978be2b4ab39d22045192ea80af;2024-12-24T08:27:15-06:00;5.772;5.942;57;0;0;57;1;36;0;0;37;21
stleary/JSON-java;20241224;0e60592bdb024978be2b4ab39d22045192ea80af;2024-12-24T08:27:15-06:00;20250107;324090a87609d0abfa100f8e1cd5c4dfa97c2ba3;2025-01-07T15:24:21-06:00;5.942;5.966;0;0;0;0;0;0;0;0;0;22
stleary/JSON-java;20250107;324090a87609d0abfa100f8e1cd5c4dfa97c2ba3;2025-01-07T15:24:21-06:00;20250517;24fafcffebf2f217fe7aa2d60438019893a0a509;2025-05-17T07:44:38-05:00;5.966;6.129;17;1;1;19;0;6;0;0;6;23
LawnchairLauncher/lawnchair;1;bd9950480f069f32c5b709077ff2b3027ea6eec8;2017-06-14T11:56:32+02:00;2;7359e327bcf013d5a187f9f7eaea3319550313c3;2017-06-15T20:50:12+02:00;58.148;58.165;0;0;0;0;0;1;0;0;1;1
LawnchairLauncher/lawnchair;2;7359e327bcf013d5a187f9f7eaea3319550313c3;2017-06-15T20:50:12+02:00;3;6dd1f01d14ce26221a778a5dc5ff0e77c7ea7dd2;2017-06-19T15:09:19+02:00;58.165;58.386;0;0;0;0;0;6;0;0;6;2
LawnchairLauncher/lawnchair;3;6dd1f01d14ce26221a778a5dc5ff0e77c7ea7dd2;2017-06-19T15:09:19+02:00;v12.0.0;f082b80316aede6ee61de127cd2576ba3b495e4b;2021-10-11T20:48:45-07:00;58.386;147.787;1585;42;0;1627;739;2112;0;4;2855;3
