nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
google/guava;v6.0;9b62975717d16970f86441a9cb42ba84db33309f;2010-07-08T21:54:56+00:00;v7.0;13bc6c9bf52aa45fe4371357546b7ca66f317df2;2010-09-22T19:12:43+00:00;31.688;47.076;5;0;0;5;0;3;0;0;3;6
google/guava;v7.0;13bc6c9bf52aa45fe4371357546b7ca66f317df2;2010-09-22T19:12:43+00:00;v8.0;0bb8549ef75fd8a7f367560ade790eae39d9279f;2011-01-31T17:56:14+00:00;47.076;48.815;7;2;0;9;1;2;0;0;3;7
google/guava;v8.0;0bb8549ef75fd8a7f367560ade790eae39d9279f;2011-01-31T17:56:14+00:00;v9.0;28d17c4fafb4d37b3d540e0e76ff8142d2aaad6b;2011-04-08T14:35:37+00:00;48.815;51.146;7;0;0;7;0;0;0;0;0;8
google/guava;v9.0;28d17c4fafb4d37b3d540e0e76ff8142d2aaad6b;2011-04-08T14:35:37+00:00;v10.0;baf008c5a3de60e8399852f23979bf69f2660023;2011-09-27T14:22:36-04:00;51.146;75.856;54;0;0;54;2;4;0;0;6;9
google/guava;v10.0;baf008c5a3de60e8399852f23979bf69f2660023;2011-09-27T14:22:36-04:00;v11.0;5a6bf80c7403d77df18adb41b5b15ea34d28186d;2011-12-17T12:18:18-05:00;75.856;83.783;142;4;1;147;8;28;0;0;36;10
google/guava;v11.0;5a6bf80c7403d77df18adb41b5b15ea34d28186d;2011-12-17T12:18:18-05:00;v12.0;72d281266d52f95bc7df228cd37294c9fa6effe3;2012-04-30T14:04:06-04:00;83.783;90.29;120;3;1;124;10;34;0;0;44;11
google/guava;v12.0;72d281266d52f95bc7df228cd37294c9fa6effe3;2012-04-30T14:04:06-04:00;v13.0;c8511677c7827ab687b7412925ccdae76b6bbff1;2012-08-02T16:19:28-04:00;90.29;96.425;121;5;0;126;3;32;0;0;35;12
google/guava;v13.0;c8511677c7827ab687b7412925ccdae76b6bbff1;2012-08-02T16:19:28-04:00;v14.0;a3c71e0264ee5bf5eebd341c506dda655c3a6356;2013-02-25T13:43:45-05:00;96.425;114.858;242;4;0;246;8;56;0;0;64;13
google/guava;v14.0;a3c71e0264ee5bf5eebd341c506dda655c3a6356;2013-02-25T13:43:45-05:00;v15.0;7ce15119ae3b8ea71bdfd43bd6a0b96f851187d0;2013-09-06T15:34:09-04:00;114.858;136.97;216;0;0;216;10;51;0;1;62;14
google/guava;v15.0;7ce15119ae3b8ea71bdfd43bd6a0b96f851187d0;2013-09-06T15:34:09-04:00;v16.0;2537d1ed4795f8fad737a7bf6d6f93fbdfa28e54;2014-01-17T16:23:13-05:00;136.97;138.846;61;0;0;61;2;18;0;0;20;15
google/guava;v16.0;2537d1ed4795f8fad737a7bf6d6f93fbdfa28e54;2014-01-17T16:23:13-05:00;v17.0;904234dc2f365314c636d29385780faf72db2477;2014-04-22T15:59:22-04:00;138.846;139.623;67;2;0;69;1;16;0;0;17;16
google/guava;v17.0;904234dc2f365314c636d29385780faf72db2477;2014-04-22T15:59:22-04:00;v18.0;798803f026bb9517bcf4e0e9ab2d2e0345023182;2014-08-25T14:39:22-04:00;139.623;139.795;61;1;0;62;4;19;0;2;25;17
google/guava;v18.0;798803f026bb9517bcf4e0e9ab2d2e0345023182;2014-08-25T14:39:22-04:00;v19.0;daa84b68f31898f67a51207e193ee2ddabb088bf;2015-12-09T15:56:41-05:00;139.795;148.071;229;8;0;237;19;61;0;1;81;18
google/guava;v19.0;daa84b68f31898f67a51207e193ee2ddabb088bf;2015-12-09T15:56:41-05:00;v20.0;65f6b4f4b132a051616403bcf74e4034a19d92a1;2016-10-28T16:30:44-04:00;148.071;106.958;328;1;2;331;22;77;0;0;99;19
google/guava;v20.0;65f6b4f4b132a051616403bcf74e4034a19d92a1;2016-10-28T16:30:44-04:00;v21.0;0f025e5d5d39a5d1ab709917f725d48a8464df50;2017-01-12T14:09:51-05:00;106.958;111.641;42;1;0;43;2;22;0;0;24;20
google/guava;v21.0;0f025e5d5d39a5d1ab709917f725d48a8464df50;2017-01-12T14:09:51-05:00;v22.0;7bbdb221feb446cbd38202c133818bc383c413ae;2017-05-22T14:46:19-04:00;111.641;145.407;114;0;0;114;4;21;0;0;25;21
google/guava;v22.0;7bbdb221feb446cbd38202c133818bc383c413ae;2017-05-22T14:46:19-04:00;v23.0;b48cdeb618388a7b1d1c782e1ce2cc60b4f4efca;2017-08-04T16:30:56-04:00;145.407;148.777;62;1;0;63;1;20;0;0;21;22
google/guava;v23.0;b48cdeb618388a7b1d1c782e1ce2cc60b4f4efca;2017-08-04T16:30:56-04:00;v24.0;cebf66be35cceb2c04990805f127506b2197fe33;2018-02-01T15:16:14-05:00;148.777;157.994;125;0;0;125;8;38;0;0;46;23
google/guava;v24.0;cebf66be35cceb2c04990805f127506b2197fe33;2018-02-01T15:16:14-05:00;v25.0;0819c57c91b3ba2695a792b828ae239258681a3e;2018-04-25T18:12:31-04:00;157.994;159.452;29;1;0;30;0;7;0;0;7;24
google/guava;v25.0;0819c57c91b3ba2695a792b828ae239258681a3e;2018-04-25T18:12:31-04:00;v26.0;bbf9295088d668c06e573cea03f01375985c1814;2018-08-01T17:39:54-04:00;159.452;190.762;25;0;0;25;0;10;0;0;10;25
google/guava;v26.0;bbf9295088d668c06e573cea03f01375985c1814;2018-08-01T17:39:54-04:00;v27.0;a35bfd9ea855539354b783ee74839e384f7af98a;2018-10-18T14:07:14-04:00;190.762;191.518;24;0;0;24;1;5;0;0;6;26
google/guava;v27.0;a35bfd9ea855539354b783ee74839e384f7af98a;2018-10-18T14:07:14-04:00;v28.0;9957203c956016b485696ce9d1a4d60f1019c5fd;2019-06-11T19:05:47-04:00;191.518;194.118;51;0;0;51;1;16;0;0;17;27
google/guava;v28.0;9957203c956016b485696ce9d1a4d60f1019c5fd;2019-06-11T19:05:47-04:00;v29.0;2d655e59ee0af2a0cabf877d5f85ababf813ff8e;2020-04-13T17:13:10-04:00;194.118;197.756;107;1;2;110;3;28;0;0;31;28
google/guava;v29.0;2d655e59ee0af2a0cabf877d5f85ababf813ff8e;2020-04-13T17:13:10-04:00;v30.0;f75cd01d3afe83623bb8bd1a8a816ea5245bf285;2020-10-16T16:27:24-04:00;197.756;198.715;58;0;0;58;3;16;0;0;19;29
google/guava;v30.0;f75cd01d3afe83623bb8bd1a8a816ea5245bf285;2020-10-16T16:27:24-04:00;v31.0;6edcfc0a649e4031f4a48ea7f41aa0cb4801db2b;2021-09-24T16:15:46-04:00;198.715;180.576;73;0;0;73;5;28;0;0;33;30
google/guava;v31.0;6edcfc0a649e4031f4a48ea7f41aa0cb4801db2b;2021-09-24T16:15:46-04:00;v32.0.0;6b1f97ced922d48f071153ad9e631d06383033a4;2023-05-26T18:14:55-04:00;180.576;181.423;118;8;0;126;2;30;0;1;33;31
google/guava;v32.0.0;6b1f97ced922d48f071153ad9e631d06383033a4;2023-05-26T18:14:55-04:00;v33.0.0;2214c63670fc161da170ac6e1a2d6d07e1531a55;2023-12-18T15:32:56-05:00;181.423;185.268;53;0;0;53;1;15;0;0;16;32
apache/skywalking;v7.0.0;335624370788004b235e25357cbfb4325387895f;2020-03-18 15:36:45 +0000;v8.0.0;f3a395077b18e56408c69325bfc00de1eb568396;2020-06-12 08:29:30 +0000;99.425;100.44;65;0;0;65;9;37;1;0;47;1
apache/skywalking;v8.0.0;f3a395077b18e56408c69325bfc00de1eb568396;2020-06-12 08:29:30 +0000;v9.0.0;20aeabdee7e7dd0320110efc4ceb790b63010d2f;2022-04-06 08:59:20 +0000;100.44;91.577;471;6;0;477;47;301;0;0;348;2
apache/skywalking;v9.0.0;20aeabdee7e7dd0320110efc4ceb790b63010d2f;2022-04-06 08:59:20 +0000;v10.0.0;a122d2f4d6fb4db4917d89bcec8b7101c0737160;2024-05-09 23:56:18 +0000;91.577;152.547;300;6;0;306;12;229;0;0;241;3
OpenAPITools/openapi-generator;v3.0.0;9c82520637b9cd4415046e78ddb13dec84e89509;2018-06-01T15:48:15+08:00;v4.0.0;37442733120ca60a5a28e765e377871da20d37d0;2019-05-13T20:56:47+08:00;157.62;210.588;395;1;0;396;23;321;0;1;345;1
OpenAPITools/openapi-generator;v4.0.0;37442733120ca60a5a28e765e377871da20d37d0;2019-05-13T20:56:47+08:00;v5.0.0;d7d5e53f2bad69cdb3dffae35eef1f3f1090a22c;2020-12-21T13:04:11+08:00;210.588;267.757;788;4;0;792;69;605;0;3;677;2
OpenAPITools/openapi-generator;v5.0.0;d7d5e53f2bad69cdb3dffae35eef1f3f1090a22c;2020-12-21T13:04:11+08:00;v6.0.0;69f79fb7892948590a9ffe46754c47ddd2634be1;2022-05-26T10:28:01+08:00;267.757;326.194;604;1;0;605;53;487;0;2;542;3
OpenAPITools/openapi-generator;v6.0.0;69f79fb7892948590a9ffe46754c47ddd2634be1;2022-05-26T10:28:01+08:00;v7.0.0;c37fa8a4e8399ebd76d7f190136fd4b851c9aa7e;2023-08-25T15:05:29+08:00;326.194;342.245;678;1;1;680;57;535;2;2;596;4
facebook/fresco;v1.0;262eab4a45041342ebd03b3d02efeea5dc24af5d;2016-12-14 18:57:31 +0000;v2.0.0;35c7032978dc15a9a28f28528005b425308bfaaf;2019-06-13 14:48:06 +0100;41.873;52.593;190;2;0;192;4;122;0;1;127;1
facebook/fresco;v2.0.0;35c7032978dc15a9a28f28528005b425308bfaaf;2019-06-13 14:48:06 +0100;v3.0.0;bfcc9242bbe73b7da9386e4d95cab8a2ac8d42fd;2023-03-17T08:29:36-07:00;52.593;65.214;210;0;1;211;3;140;0;1;144;2
questdb/questdb;1.0;20adbb1c95eea7633842d1f5d21e6f2427e19c88;2014-05-06T03:09:06+01:00;2.0.0;01621cde95debd4c99ffc31b928341b3fa47b54a;2014-08-18T01:13:36+01:00;8.126;12.198;33;0;0;33;2;0;0;0;2;1
questdb/questdb;2.0.0;01621cde95debd4c99ffc31b928341b3fa47b54a;2014-08-18T01:13:36+01:00;3.0.0;5a6043601bd58a8c88e9f3e4cbcd10ef449a937e;2018-10-07T23:16:00+01:00;12.198;206.611;1089;28;19;1136;145;105;0;2;252;2
questdb/questdb;3.0.0;5a6043601bd58a8c88e9f3e4cbcd10ef449a937e;2018-10-07T23:16:00+01:00;4.0.0;f335c014d9460740d3b0c0e34811b4b68dcd60d4;2019-11-19T13:20:51+00:00;206.611;177.353;202;8;4;214;29;44;0;2;75;3
questdb/questdb;4.0.0;f335c014d9460740d3b0c0e34811b4b68dcd60d4;2019-11-19T13:20:51+00:00;5.0.0;0adf2896f2f2421c76993254afe473f04923b7a2;2020-06-17T17:09:16+01:00;177.353;165.807;179;2;1;182;5;146;0;0;151;4
questdb/questdb;5.0.0;0adf2896f2f2421c76993254afe473f04923b7a2;2020-06-17T17:09:16+01:00;6.0.0;d503a5de4008d09f7de431ce136fc7a2788736bc;2021-05-10T14:43:00+01:00;165.807;209.389;192;1;0;193;4;152;0;0;156;5
questdb/questdb;6.0.0;d503a5de4008d09f7de431ce136fc7a2788736bc;2021-05-10T14:43:00+01:00;7.0.0;dd841c382561b3358824fcb3d8833a3296524b64;2023-02-03T20:42:10+00:00;209.389;275.16;656;1;2;659;41;449;0;0;490;6
questdb/questdb;7.0.0;dd841c382561b3358824fcb3d8833a3296524b64;2023-02-03T20:42:10+00:00;8.0.0;d8e0fba05bf4a3e4df99796eae09d854006cec48;2024-05-29 14:34:25 +0100;275.16;363.179;593;0;6;599;9;377;0;0;386;7
questdb/questdb;8.0.0;d8e0fba05bf4a3e4df99796eae09d854006cec48;2024-05-29 14:34:25 +0100;9.0.0;af7b6b5997c115b28af0d33cc7cf6f7577a7b4a6;2025-07-11 11:18:20 +0100;363.179;465.014;472;0;0;472;5;288;0;0;293;8
apache/pulsar;v3.0.0;6354eebcb8aaa0e577afd14ffb65d657595c169c;2023-05-03 06:29:19 +0800;v4.0.0;5cc7457e93b60f72492a0e687322fde35e99bda4;2024-10-21 21:05:17 +0300;340.96;365.101;891;3;1;895;12;851;0;0;863;1
elastic/logstash;v1.0.0;07404dbc06aca4fce3713633157d3abf55e5aa73;2011-05-06T22:52:31-07:00;v2.0.0;a566fab7d135886a33a1caadae9e548bee050179;2015-10-27T18:26:24+00:00;13.028;10.981;871;32;3;906;87;860;0;92;1039;1
elastic/logstash;v2.0.0;a566fab7d135886a33a1caadae9e548bee050179;2015-10-27T18:26:24+00:00;v5.0.0;6ffe6451db6a0157cc6dd23458a0342c3118a9b0;2016-10-25T22:39:48-04:00;10.981;20.102;254;4;1;259;2;135;0;4;141;2
elastic/logstash;v5.0.0;6ffe6451db6a0157cc6dd23458a0342c3118a9b0;2016-10-25T22:39:48-04:00;v6.0.0;be68e31588903bde5ebe8fc76e2d850249b7efb6;2017-11-08T14:39:01+00:00;20.102;51.679;491;5;2;498;10;258;0;2;270;3
elastic/logstash;v6.0.0;be68e31588903bde5ebe8fc76e2d850249b7efb6;2017-11-08T14:39:01+00:00;v7.0.0;26101649981400490f8bab334c61a90a1d6325d2;2019-04-05T15:38:55+01:00;51.679;78.051;360;3;2;365;19;172;0;1;192;4
elastic/logstash;v7.0.0;26101649981400490f8bab334c61a90a1d6325d2;2019-04-05T15:38:55+01:00;v8.0.0;a8ab8ce8b867a476f59af6e0ce77c6840446dbb3;2022-02-10 15:38:47 +0000;78.051;80.616;282;8;1;291;3;144;0;3;150;5
elastic/logstash;v8.0.0;a8ab8ce8b867a476f59af6e0ce77c6840446dbb3;2022-02-10 15:38:47 +0000;v9.0.0;f15ae9fbb067e491795deeed285d44c784f997da;2025-03-17T18:52:12-07:00;80.616;75.629;315;7;1;323;11;144;0;5;160;6
apache/shardingsphere;1.0.0;e4751db92e9fe4fc36c7d6ae55d90e9a669d40f4;2016-02-01T15:33:33+08:00;2.0.0;cb45467938e85fad41a93a7beca38cef12dac7eb;2017-12-04T00:07:12+08:00;16.762;21.819;978;0;137;1115;21;216;0;1;238;1
apache/shardingsphere;2.0.0;cb45467938e85fad41a93a7beca38cef12dac7eb;2017-12-04T00:07:12+08:00;3.0.0;ea8e65b242a30110deadbf703650cf37addbf50e;2018-10-23T17:46:06+08:00;21.819;33.544;2350;9;21;2380;40;301;0;3;344;2
apache/shardingsphere;3.0.0;ea8e65b242a30110deadbf703650cf37addbf50e;2018-10-23T17:46:06+08:00;4.0.0;c1b1c29df0f1f5b818f29e610ef339acfe56aa75;2019-12-30 19:32:22 +0800;33.544;63.193;3953;1;9;3963;114;484;0;4;602;3
apache/shardingsphere;4.0.0;c1b1c29df0f1f5b818f29e610ef339acfe56aa75;2019-12-30 19:32:22 +0800;5.0.0;a3597ba2cadb8bf6dff7b55647baa75a11784700;2021-11-01 23:43:30 +0800;63.193;163.74;3829;3;35;3867;58;1087;0;21;1166;4
arduino/Arduino;1.0;dca1dc429a740edabcb7a214ddddbab5d1946fd3;2011-11-28T18:47:45-05:00;0002;930d31aba3df4878115b3a62d1f078af43d4eb55;2005-10-05 13:47:45 +0000;257.546;59.888;0;0;0;0;0;0;0;0;0;1
arduino/Arduino;0002;930d31aba3df4878115b3a62d1f078af43d4eb55;2005-10-05 13:47:45 +0000;0003;35a520c34f520f1e6d602a43b9271d62584a5bde;2006-01-16 11:33:29 +0000;59.888;60.177;0;0;0;0;0;2;0;0;2;2
arduino/Arduino;0003;35a520c34f520f1e6d602a43b9271d62584a5bde;2006-01-16 11:33:29 +0000;0004;a209d8341acbdc5239ddb71d88c95bf061e0873d;2006-05-02 13:30:52 +0000;60.177;63.5;0;0;0;0;0;5;0;0;5;3
arduino/Arduino;0004;a209d8341acbdc5239ddb71d88c95bf061e0873d;2006-05-02 13:30:52 +0000;0005;517b81848ab32c257209758f0dc76609e892fc60;2006-10-05 19:33:28 +0000;63.5;63.511;0;0;0;0;1;3;0;1;5;4
arduino/Arduino;0005;517b81848ab32c257209758f0dc76609e892fc60;2006-10-05 19:33:28 +0000;0006;9a6893c8872641a16451b3872339955f90abb7a9;2006-11-04 13:21:14 +0000;63.511;64.097;0;0;0;0;0;0;0;0;0;5
arduino/Arduino;0006;9a6893c8872641a16451b3872339955f90abb7a9;2006-11-04 13:21:14 +0000;0007;b9da2429d71c41d841e9efad95e4d52f214431cb;2006-12-25 23:58:47 +0000;64.097;54.023;0;0;0;0;0;2;0;0;2;6
arduino/Arduino;0007;b9da2429d71c41d841e9efad95e4d52f214431cb;2006-12-25 23:58:47 +0000;0008;f5b1bb5e453432f411c30b68204de0ed8ce7a282;2007-06-12 04:36:05 +0000;54.023;55.049;0;0;0;0;4;5;0;3;12;7
arduino/Arduino;0008;f5b1bb5e453432f411c30b68204de0ed8ce7a282;2007-06-12 04:36:05 +0000;0009;4b6a7d2b81c9ec97324e1245409cf8d444458808;2007-09-01 02:25:16 +0000;55.049;56.051;0;0;0;0;1;0;0;0;1;8
arduino/Arduino;0009;4b6a7d2b81c9ec97324e1245409cf8d444458808;2007-09-01 02:25:16 +0000;0010;69bc866eab1d5d1296408f03ca4436b2cddebdf0;2007-10-22 17:48:27 +0000;56.051;75.201;0;0;0;0;0;0;0;0;0;9
arduino/Arduino;0010;69bc866eab1d5d1296408f03ca4436b2cddebdf0;2007-10-22 17:48:27 +0000;0011;409d630454b3d3a68ed6bd40f0e490fa7c9b855a;2008-03-30 16:39:24 +0000;75.201;38.862;1;1;0;2;0;1;0;0;1;10
arduino/Arduino;0011;409d630454b3d3a68ed6bd40f0e490fa7c9b855a;2008-03-30 16:39:24 +0000;0012;aff72f2929dc733dd835d4cbfbff9576e06ef9e7;2008-10-11 14:30:25 +0000;38.862;41.277;0;0;0;0;0;1;0;1;2;11
arduino/Arduino;0012;aff72f2929dc733dd835d4cbfbff9576e06ef9e7;2008-10-11 14:30:25 +0000;0013;a7c0589cace6c6a2a16b50c44f29289d008ecfa9;2009-02-08 12:43:24 +0000;41.277;41.306;1;0;0;1;1;1;0;0;2;12
arduino/Arduino;0013;a7c0589cace6c6a2a16b50c44f29289d008ecfa9;2009-02-08 12:43:24 +0000;0014;1fc1767d9a522aa30dce3db9e2baa3de05f69325;2009-03-12 16:02:40 +0000;41.306;41.327;0;0;0;0;0;1;0;0;1;13
arduino/Arduino;0014;1fc1767d9a522aa30dce3db9e2baa3de05f69325;2009-03-12 16:02:40 +0000;0015;b92c95279b14284bd5e18934d0da233d185e6d93;2009-03-29 08:25:56 +0000;41.327;41.967;0;0;0;0;1;1;0;0;2;14
arduino/Arduino;0015;b92c95279b14284bd5e18934d0da233d185e6d93;2009-03-29 08:25:56 +0000;0016;17752a092ca8020263d77d2d9056cc35c5936b57;2009-06-15 20:08:53 +0000;41.967;42.055;0;0;0;0;2;1;0;5;8;15
arduino/Arduino;0016;17752a092ca8020263d77d2d9056cc35c5936b57;2009-06-15 20:08:53 +0000;0017;54943414c955b58d45467b1b1ae18ae56966387b;2009-08-15 14:50:19 +0000;42.055;243.843;1;0;0;1;2;4;0;0;6;16
arduino/Arduino;0017;54943414c955b58d45467b1b1ae18ae56966387b;2009-08-15 14:50:19 +0000;0018;e8db061b3798fd9a67d4e257b8cdb6e8b3da3692;2010-02-03 15:51:01 +0000;243.843;244.403;0;1;0;1;3;3;0;0;6;17
arduino/Arduino;0018;e8db061b3798fd9a67d4e257b8cdb6e8b3da3692;2010-02-03 15:51:01 +0000;0019;a635997039955631e6d29be831b96e98a47bbabd;2010-09-03 23:51:21 +0000;244.403;243.497;0;0;0;0;0;1;0;0;1;18
arduino/Arduino;0019;a635997039955631e6d29be831b96e98a47bbabd;2010-09-03 23:51:21 +0000;0020;5c22a1e970326a64c3195428246b5acecb61f5b1;2010-09-24T16:29:07-04:00;243.497;248.593;0;0;0;0;0;1;0;0;1;19
arduino/Arduino;0020;5c22a1e970326a64c3195428246b5acecb61f5b1;2010-09-24T16:29:07-04:00;0021;4c26e071c8ced7b1bf3c884550d4d77a4c42c554;2010-10-02T14:03:50-04:00;248.593;248.62;0;0;0;0;0;0;0;0;0;20
arduino/Arduino;0021;4c26e071c8ced7b1bf3c884550d4d77a4c42c554;2010-10-02T14:03:50-04:00;0022;300f5e2ed04fa195cf14c6459996e2e963e7365d;2010-12-24T23:02:34+01:00;248.62;252.517;2;1;0;3;7;8;0;1;16;21
arduino/Arduino;0022;300f5e2ed04fa195cf14c6459996e2e963e7365d;2010-12-24T23:02:34+01:00;0023;bedc1a5de666c2612ef0361677a62d7495af74ae;2011-11-09T20:14:08-05:00;252.517;253.593;0;0;0;0;0;1;0;0;1;22
pinpoint-apm/pinpoint;v2.0.0;ca2947b1f35ee603e92cbbaa5cd65fa8eab2f334;2020-03-12T10:05:12+09:00;v3.0.0;d07f80b9d453b7806d54691a1393af8d5373b32f;2024-05-30T14:36:23+09:00;323.28;452.441;1056;2;0;1058;14;425;0;3;442;1
Netflix/conductor;v2.0.0;3f740ac45cb5ccac34a31a691d53072e3af04df3;2018-10-23T11:14:59-07:00;v3.0.0;23b43be60010baf7912eaf9cd79dd678d35e30e2;2021-04-14T15:19:07-07:00;79.118;72.564;393;1;2;396;35;155;2;18;210;1
keycloak/keycloak;5.0.0;8be9c392f8ef1e52d0a59a9aa5dcccaa31a69daa;2019-03-06T10:49:13+01:00;6.0.0;b60c6d72270e814883631352805348a9d462e8a1;2019-04-16T18:52:03+00:00;852.774;856.023;51;0;1;52;0;11;0;0;11;1
keycloak/keycloak;6.0.0;b60c6d72270e814883631352805348a9d462e8a1;2019-04-16T18:52:03+00:00;7.0.0;e6a274ea0e31c6572e795f3372f006c88122539b;2019-08-23T14:07:35+02:00;856.023;860.041;99;2;2;103;1;36;0;0;37;2
keycloak/keycloak;7.0.0;e6a274ea0e31c6572e795f3372f006c88122539b;2019-08-23T14:07:35+02:00;8.0.0;5e38182d88de39296de0ed19f8220dc6f60e6a52;2019-11-15T15:13:03+00:00;860.041;827.764;105;2;0;107;1;33;0;0;34;3
keycloak/keycloak;8.0.0;5e38182d88de39296de0ed19f8220dc6f60e6a52;2019-11-15T15:13:03+00:00;9.0.0;0e2d63fceb20b276cd7f7cfc5a09ecb8c44a14d2;2020-02-17T11:14:06+00:00;827.764;831.586;149;2;0;151;2;45;0;1;48;4
keycloak/keycloak;9.0.0;0e2d63fceb20b276cd7f7cfc5a09ecb8c44a14d2;2020-02-17T11:14:06+00:00;10.0.0;b1d22d6463d6652b26f8b7180b7e9fec265b77de;2020-04-29T06:58:04+00:00;831.586;828.819;118;1;0;119;0;34;0;1;35;5
keycloak/keycloak;10.0.0;b1d22d6463d6652b26f8b7180b7e9fec265b77de;2020-04-29T06:58:04+00:00;11.0.0;798f1cb2514789d24676b118feafab872d27d838;2020-07-22T08:59:17+00:00;828.819;846.695;114;1;0;115;0;22;0;0;22;6
keycloak/keycloak;11.0.0;798f1cb2514789d24676b118feafab872d27d838;2020-07-22T08:59:17+00:00;12.0.0;2690229863ddbcdfa2c75e00a7a9858e2e03c6c9;2020-12-16T12:02:56+00:00;846.695;861.979;176;2;0;178;3;39;0;0;42;7
keycloak/keycloak;12.0.0;2690229863ddbcdfa2c75e00a7a9858e2e03c6c9;2020-12-16T12:02:56+00:00;13.0.0;af1855ebc6a3d025b58b697c9bc32567fb512eec;2021-05-06T10:38:52+00:00;861.979;885.613;160;1;1;162;2;39;0;0;41;8
keycloak/keycloak;13.0.0;af1855ebc6a3d025b58b697c9bc32567fb512eec;2021-05-06T10:38:52+00:00;14.0.0;af8ea82177311bfdd0b2ee277c78421bac01a46e;2021-06-18T07:09:24+00:00;885.613;907.219;90;0;0;90;0;10;0;0;10;9
keycloak/keycloak;14.0.0;af8ea82177311bfdd0b2ee277c78421bac01a46e;2021-06-18T07:09:24+00:00;15.0.0;0ecb5c115ecc59e73ee8990513be4e817940eef7;2021-07-30T10:38:45+00:00;907.219;915.095;98;1;0;99;0;10;0;0;10;10
keycloak/keycloak;15.0.0;0ecb5c115ecc59e73ee8990513be4e817940eef7;2021-07-30T10:38:45+00:00;16.0.0;7eb964657c38c2241e32f734543f41635e279876;2021-12-17T15:33:56+01:00;915.095;1024.588;169;1;0;170;4;57;0;0;61;11
keycloak/keycloak;16.0.0;7eb964657c38c2241e32f734543f41635e279876;2021-12-17T15:33:56+01:00;17.0.0;6442c0e8c2ccf0075f70c794dc02beb864bed4fc;2022-03-11T09:53:57+01:00;1024.588;551.867;139;0;1;140;1;34;0;0;35;12
keycloak/keycloak;17.0.0;6442c0e8c2ccf0075f70c794dc02beb864bed4fc;2022-03-11T09:53:57+01:00;18.0.0;ef47eee2dda29a0f08187ae67970323c28947f11;2022-04-20T20:32:18+02:00;551.867;538.278;86;0;0;86;0;22;0;1;23;13
keycloak/keycloak;18.0.0;ef47eee2dda29a0f08187ae67970323c28947f11;2022-04-20T20:32:18+02:00;19.0.0;0573abd848e086d956b7a53ee771f754ccf2998a;2022-07-27T10:29:45+00:00;538.278;537.696;183;2;1;186;1;30;0;0;31;14
keycloak/keycloak;19.0.0;0573abd848e086d956b7a53ee771f754ccf2998a;2022-07-27T10:29:45+00:00;20.0.0;1ac875cf63e4eb0e04c9a9336fa33ac9647f9270;2022-11-01T12:43:21+00:00;537.696;521.372;140;1;0;141;1;41;0;0;42;15
keycloak/keycloak;20.0.0;1ac875cf63e4eb0e04c9a9336fa33ac9647f9270;2022-11-01T12:43:21+00:00;21.0.0;315f02483279cdaa2634742c039b4cf8111d18ef;2023-02-23T08:46:32+00:00;521.372;492.101;172;1;0;173;3;42;0;0;45;16
keycloak/keycloak;21.0.0;315f02483279cdaa2634742c039b4cf8111d18ef;2023-02-23T08:46:32+00:00;22.0.0;b825ba97b489d715f7ca1984c19bd95afb355a38;2023-07-11T13:57:56+00:00;492.101;600.722;696;48;9;753;22;978;0;14;1014;17
keycloak/keycloak;22.0.0;b825ba97b489d715f7ca1984c19bd95afb355a38;2023-07-11T13:57:56+00:00;23.0.0;1d4ce3d8e9dbc9af996f9248996c78e145902a35;2023-11-23T14:42:10+00:00;600.722;548.285;260;16;2;278;6;109;0;0;115;18
keycloak/keycloak;23.0.0;1d4ce3d8e9dbc9af996f9248996c78e145902a35;2023-11-23T14:42:10+00:00;24.0.0;a43d7b1cd6fe713e491aafdc8c618721d34f10e6;2024-03-04T09:20:24+00:00;548.285;572.299;268;11;0;279;6;113;0;1;120;19
keycloak/keycloak;24.0.0;a43d7b1cd6fe713e491aafdc8c618721d34f10e6;2024-03-04T09:20:24+00:00;25.0.0;5279b7f4530afc3c05699a2d8bbcdd18f557b6a9;2024-06-10T07:11:30+00:00;572.299;550.008;337;7;2;346;2;123;0;3;128;20
keycloak/keycloak;25.0.0;5279b7f4530afc3c05699a2d8bbcdd18f557b6a9;2024-06-10T07:11:30+00:00;26.0.0;632f214aa2d668e8b59920c3dfcc449da68254a4;2024-10-04T06:52:14+00:00;550.008;526.209;358;9;1;368;4;129;0;0;133;21
apache/dolphinscheduler;1.0.0;bfe0041362422c2508c89808e6198080d38e2e95;2019-03-30 11:12:48 +0800;2.0.0;7b13435ca5a9edfb12f73e5a7efa361951c7a9d7;2021-11-16 00:49:08 +0800;97.87;138.134;1070;1;3;1074;329;999;5;8;1341;1
apache/dolphinscheduler;2.0.0;7b13435ca5a9edfb12f73e5a7efa361951c7a9d7;2021-11-16 00:49:08 +0800;3.0.0;157e25313ab326ef3269614c8c29d2d74b27e1c0;2022-08-05 18:16:57 +0800;138.134;175.761;337;2;0;339;197;731;1;0;929;2
